09:11:53 [INFO] Found netvar: m_iCrosshairId => 0x117DC
09:11:53 [INFO] Found netvar: m_iEntityQuality => 0x2FBC
09:11:53 [INFO] Found netvar: m_iFOVStart => 0x31F8
09:11:53 [INFO] Found netvar: m_iGlowIndex => 0x10470
09:11:53 [INFO] Found netvar: m_iHealth => 0x100
09:11:53 [INFO] Found netvar: m_iItemDefinitionIndex => 0x2FBA
09:11:53 [INFO] Found netvar: m_iItemIDHigh => 0x2FD0
09:11:53 [INFO] Found netvar: m_iObserverMode => 0x3388
09:11:53 [INFO] Found netvar: m_iShotsFired => 0x103E0
09:11:53 [INFO] Found netvar: m_iState => 0x3268
09:11:53 [INFO] Found netvar: m_iTeamNum => 0xF4
09:11:53 [INFO] Found netvar: m_lifeState => 0x25F
09:11:53 [INFO] Found netvar: m_nFallbackPaintKit => 0x31D8
09:11:53 [INFO] Found netvar: m_nFallbackSeed => 0x31DC
09:11:53 [INFO] Found netvar: m_nFallbackStatTrak => 0x31E4
09:11:53 [INFO] Found netvar: m_iDefaultFOV => 0x333C
09:11:53 [INFO] Found netvar: m_iFOV => 0x31F4
09:11:53 [INFO] Found netvar: m_nForceBone => 0x268C
09:11:53 [INFO] Found netvar: m_nTickBase => 0x3440
09:11:53 [INFO] Found netvar: m_rgflCoordinateFrame => 0x474
09:11:53 [INFO] Found netvar: m_szCustomName => 0x304C
09:11:53 [INFO] Found netvar: m_szLastPlaceName => 0x35C4
09:11:53 [INFO] Found netvar: m_vecOrigin => 0x138
09:11:53 [INFO] Found netvar: m_vecVelocity => 0x114
09:11:53 [INFO] Found netvar: m_vecViewOffset => 0x108
09:11:53 [INFO] Found netvar: m_viewPunchAngle => 0x3030
09:11:53 [INFO] Found netvar: m_thirdPersonViewAngles => 0x31E4
09:11:53 [INFO] Found netvar: m_clrRender => 0x70
09:11:53 [INFO] Found netvar: m_bBombTicking => 0x2990
09:11:53 [INFO] Found netvar: m_bBombDefused => 0x29C0
09:11:53 [INFO] Found netvar: m_flC4Blow => 0x29A0
09:11:53 [INFO] Found netvar: m_hBombDefuser => 0x29C4
09:11:53 [INFO] Found netvar: m_flTimerLength => 0x29A4
09:11:53 [INFO] Found netvar: m_flDefuseLength => 0x29B8
09:11:53 [INFO] Found netvar: m_flDefuseCountDown => 0x29BC
09:11:53 [INFO] Found netvar: m_nBombSite => 0x2994
09:11:53 [INFO] Found netvar: cs_gamerules_data => 0x0
09:11:53 [INFO] Found netvar: m_SurvivalRules => 0xD00
09:11:53 [INFO] Found netvar: m_SurvivalGameRuleDecisionTypes => 0x1328
09:11:53 [INFO] Found netvar: m_bIsValveDS => 0x7C
09:11:53 [INFO] Found netvar: m_bFreezePeriod => 0x20
09:11:53 [INFO] Found netvar: m_bBombPlanted => 0x9A5
09:11:53 [INFO] Found netvar: m_bIsQueuedMatchmaking => 0x74
09:11:53 [INFO] Found netvar: m_flSimulationTime => 0x268
09:11:53 [INFO] Found netvar: m_flLowerBodyYawTarget => 0x9ADC
09:11:53 [INFO] Found netvar: m_angEyeAnglesX => 0x117D0
09:11:53 [INFO] Found netvar: m_angEyeAnglesY => 0x117D4
09:11:53 [INFO] Found netvar: m_flNextAttack => 0x2D80
09:11:53 [INFO] Found netvar: m_iMostRecentModelBoneCounter => 0x268C
09:11:53 [INFO] Found netvar: m_flLastBoneSetupTime => 0x28C0
09:11:53 [INFO] Found netvar: m_bStartedArming => 0x3400
09:11:53 [INFO] Found netvar: m_bUseCustomBloomScale => 0x9DA
09:11:53 [INFO] Found netvar: m_bUseCustomAutoExposureMin => 0x9D8
09:11:53 [INFO] Found netvar: m_bUseCustomAutoExposureMax => 0x9D9
09:11:53 [INFO] Found netvar: m_flCustomBloomScale => 0x9E4
09:11:53 [INFO] Found netvar: m_flCustomAutoExposureMin => 0x9DC
09:11:53 [INFO] Found netvar: m_flCustomAutoExposureMax => 0x9E0
09:11:53 [INFO] Found netvar: m_nViewModelIndex => 0x29D0
09:11:53 [INFO] Finished netvar scanning: 93/93 items successful
